English	Bengali	Vietnamese	Tamil	Fillipino	Hindi
1. What is COVID-19?	১. কোভিড -১৯ কী?	COVID-19 là gì?	COVID-19 என்றால் என்ன?	Ano ang COVID-19?	COVID-19 क्या है?
COVID-19 (more specifically, a coronavirus) is the disease identified as the cause of an outbreak of respiratory illness first detected in Wuhan, China	কোভিড -১৯ (আরও বিস্তারিতটভাবে বলা যায়, করোনাভাইরাস) এমন একটি রোগ যার শুরু চিনের ওউহানে শহর থেকে়। এটা একটা শ্বাসকষ্টজনিত রোগ।	COVID-19 (cụ thể hơn là coronavirus) là một căn bệnh bắt đầu từ thành phố Vũ Hán ở Trung Quốc, đây là một bệnh về đường hô hấp.	COVID-19 (இன்னும் குறிப்பாக, ஒரு கொரோனா வைரஸ்) என்பது சீனாவின் வுஹான் நகரத்திலிருந்து தொடங்கிய ஒரு நோய், இது ஒரு சுவாச நோய்.	Ang COVID-19 (mas partikular, isang coronavirus) ay isang sakit na nagsimula mula sa Wuhan City sa China, ito ay isang sakit sa paghinga.	COVID-19 (विशेष रूप से, एक कोरोनावायरस) एक बीमारी है जो चीन के वुहान शहर से शुरू हुई, यह एक श्वसन बीमारी है।
2. What are the symptoms of COVID-19?	২. কোভিড -১৯ এর লক্ষণগুলি কী কী?	Các triệu chứng của COVID-19 là gì?	COVID-19 இன் அறிகுறிகள் யாவை?	Ano ang mga sintomas ng COVID-19?	COVID-19 के लक्षण क्या हैं?
The most common symptoms are fever, tiredness and dry cough. Some patients also have runny nose, sore throat or diarrhoea. These symptoms are usually mild and begin gradually.	সর্বাধিক সাধারণ লক্ষণগুলি হল জ্বর, ক্লান্তি এবং শুকনো কাশি। কিছু কিছু রোগীর সর্দি, গলা ব্যথা বা ডায়রিয়াও হতে পারে। এই লক্ষণগুলি সাধারণত হালকা হয় এবং আস্তে আস্তে শুরু হয়। কারো কারো শরীরে এই লক্ষণগুলি দেখাও যায়না।	Các triệu chứng phổ biến nhất là sốt, mệt mỏi và ho khan. Một số bệnh nhân cũng bị sổ mũi, đau họng hoặc tiêu chảy. Những triệu chứng này thường nhẹ. 	காய்ச்சல், சோர்வு மற்றும் வறட்டு இருமல் ஆகியவை மிகவும் பொதுவான அறிகுறிகளாகும். சில நோயாளிகளுக்கு மூக்கு ஒழுகுதல், தொண்டை புண் அல்லது வயிற்றுப்போக்கு உள்ளது. இந்த அறிகுறிகள் பொதுவாக லேசானவை.	Ang pinakakaraniwang sintomas ay lagnat, pagkapagod at tuyong ubo. Ang ilang mga pasyente ay mayroon ding tumatakbo ilong, namamagang lalamunan o pagtatae. Ang mga sintomas na ito ay karaniwang banayad. 	सबसे आम लक्षण बुखार, थकान और सूखी खांसी हैं। कुछ रोगियों में नाक बहना, गले में खराश या दस्त भी होता है। ये लक्षण आमतौर पर हल्के होते हैं।
Some people become infected but remain asymptomatic.	তবে এই রোগের ফলে ফুসফুসের সংক্রমণ বা নিউমোনিয়াও হতে পারে।	Một số người bị nhiễm bệnh nhưng không có bất kỳ triệu chứng nào. 	சிலர் தொற்றுநோயாக மாறுகிறார்கள், ஆனால் எந்த அறிகுறிகளும் இல்லை.	Ang ilang mga tao ay nahawahan ngunit walang mga sintomas. 	कुछ लोग संक्रमित हो जाते हैं लेकिन उनमें कोई लक्षण नहीं होते हैं।
It can however, also cause lung infection, or pneumonia.	৩. কোভিড -১৯ কীভাবে ছড়ায়?	Tuy nhiên, nó cũng có thể được gây ra bởi nhiễm trùng phổi hoặc viêm phổi.	இருப்பினும், இது நுரையீரல் தொற்று அல்லது நிமோனியாவால் கூட ஏற்படலாம்.	Gayunpaman, maaari rin itong sanhi ng impeksyon sa baga o pneumonia.	हालाँकि, यह फेफड़ों में संक्रमण या निमोनिया के कारण भी हो सकता है।
3. How does COVID-19 spread?	একজন আক্রান্ত মানুষের থেকে অন্যজন  সংক্রামিত হতে পারে। ভাইরাসটি হঁাচি   এবং কাশির মাধ্যমে ছড়িয়ে পড়ে। বা মুখের লালা, ব্যবহার করা	COVID-19 lây lan như thế nào?	COVID-19 எவ்வாறு பரவுகிறது?	Paano kumalat ang COVID-19?	COVID-19 कैसे फैलता है?
People can catch COVID-19 from others who have the virus. The virus spreads via respiratory droplets (sharing saliva, utensils, being in close contact or through direct contact with droplets on surfaces and materials).	থালাবাসন, চামুচ ইত্যাদির মাধ্যমেও ছড়াতে পারে।	Mọi người có thể bị nhiễm bởi những người khác đã bị nhiễm COVID-19. Virus lây lan qua ho và hắt hơi. Virus cũng có thể lây lan qua nước bọt từ miệng, đĩa, thìa và dĩa đã sử dụng.	ஏற்கனவே COVID-19 நோயால் பாதிக்கப்பட்ட பிற நபர்களால் மக்கள் பாதிக்கப்படலாம். வைரஸ் இருமல் மற்றும் தும்மினால் பரவுகிறது. இந்த வைரஸ் வாயிலிருந்து உமிழ்நீர், பயன்படுத்தப்பட்ட தட்டுகள், கரண்டி மற்றும் முட்கரண்டி ஆகியவற்றால் பரவலாம்.	Ang mga tao ay maaaring mahawahan ng ibang mga tao na nahawahan na ng COVID-19. Ang virus ay kumakalat sa pamamagitan ng ubo at pagbahing. Ang virus ay maaari ring kumalat gamit ang laway mula sa bibig, ginamit na mga plato, kutsara, at tinidor.	लोग COVID-19 से पहले से संक्रमित अन्य व्यक्तियों द्वारा संक्रमित हो सकते हैं। वायरस खांसी और छींकने से फैलता है। वायरस मुंह से लार, प्लेट्स, चम्मच और कांटे से भी फैल सकता है।
4. What is the test for COVID-19 like?	৪. কোভিড -১৯ কিভাবে পরীক্ষা করা হয়?	Bài kiểm tra COVID-19 là gì?	COVID-19 க்கான சோதனை என்ன?	Ano ang pagsubok para sa COVID-19?	COVID-19 के लिए परीक्षण क्या है?
It is a swab test inserted in your nostril or at the back of your throat. It will last about 10 seconds. There might be a slight discomfort, however it is not significantly painful.	এটি আপনার নাকের বা আপনার গলার ভিতর থেকে সোয়াব পরীক্ষা করা হয় । এটি করতে ১০ সেকেন্ড সময় লাগে। এটা করার সময় কিছুটা অস্বস্তি লাগতে পারে, তবে তেমন ভয়ের কিছু না।	Đây là một thử nghiệm gạc. Một miếng gạc sẽ được đưa vào lỗ mũi hoặc phía sau cổ họng của bạn. Nó sẽ kéo dài khoảng 10 giây. Có thể có một chút khó chịu, tuy nhiên, nó không quá đau.	இது ஒரு துணியால் துடைக்கும் சோதனை. உங்கள் நாசியில் அல்லது உங்கள் தொண்டையின் பின்புறத்தில் ஒரு துணியால் செருகப்படும். இது சுமார் 10 வினாடிகள் நீடிக்கும். ஒரு சிறிய அச om கரியம் இருக்கலாம், இருப்பினும், இது மிகவும் வேதனையாக இல்லை.	Ito ay isang swab test. Ang isang pamunas ay ipapasok sa iyong butas ng ilong o sa likod ng iyong lalamunan. Ito ay tatagal ng mga 10 segundo. Maaaring mayroong isang bahagyang kakulangan sa ginhawa, gayunpaman, hindi ito masyadong masakit.	यह एक स्वैब परीक्षण है। आपके नाक के छिद्रों में या आपके गले के पीछे एक स्वाब डाला जाएगा। यह लगभग 10 सेकंड तक चलेगा। थोड़ी सी असुविधा हो सकती है, हालांकि, यह बहुत दर्दनाक नहीं है।
5. What happens if I am tested positive for COVID-19?	৫. যদি আমার কভিড -১৯ হয়, এরপরে কি করা হয়?	Nếu tôi có COVID-19 thì sao?	என்னிடம் COVID-19 இருந்தால் என்ன செய்வது?	Paano kung mayroon akong COVID-19?	यदि मेरे पास COVID-19 है तो क्या होगा?
Arrangements will be made for you to be warded or sent to a community isolation facility, to be placed under observation. You will be observed for deterioration. You might require X-Rays and blood tests as well. Repeated testing of your respiratory samples (via nose or throat) will be done on a regular basis, usually 24 hours apart. If you test negative twice consecutively, you can be discharged back to your home/dorm to continue 2 weeks of isolation at home.	আপনাকে অন্য সবার থেকে আলাদা করে রাখার ব্যবস্হা করা হবে বা হাসপাতালে পাঠানো হবে। তারা খেয়াল রাখবে আপনার অবস্হা উন্নতি না অবনতির দিকে যাচ্ছে। আপনার এক্স-রে এবং রক্ত ​​পরীক্ষাও প্রয়োজন হতে পারে। সাধারণত ২৪ ঘন্টা পরপর আপনার   সোয়াব পরীক্ষা করা হবে। আপনার পরীক্ষা করার পরে যদি পর পর দুবার নেগেটিভ আসে, তবে বাড়িতে ফেরত গিয়ে সবার থেকে ২ সপ্তাহ আলাদা থাকতে হবে।	Chính quyền sẽ sắp xếp cuộc sống riêng cho bạn hoặc đưa bạn đến bệnh viện. Họ sẽ theo dõi sức khỏe của bạn, cho dù nó đang được cải thiện hay không. X-quang hoặc xét nghiệm máu cũng có thể cần thiết. Thông thường, họ sẽ kiểm tra tăm bông của bạn cứ sau 24 giờ. Nếu bài kiểm tra của bạn âm tính hai lần liên tiếp, bạn sẽ được thả ra. Nhưng sau khi về nhà, bạn phải ở riêng với mọi người trong 2 tuần.	அதிகாரம் உங்களுக்காக தனி வாழ்க்கை ஏற்பாடுகளை செய்யும் அல்லது உங்களை ஒரு மருத்துவமனையில் அனுமதிக்கும். அவை உங்கள் ஆரோக்கியத்தை மேம்படுத்துகின்றனவா இல்லையா என்பதை கண்காணிக்கும். எக்ஸ்ரே அல்லது இரத்த பரிசோதனையும் தேவைப்படலாம். வழக்கமாக, அவர்கள் ஒவ்வொரு 24 மணி நேரத்திற்கும் ஒரு முறை உங்கள் துணியை சோதிப்பார்கள். உங்கள் சோதனை தொடர்ச்சியாக இரண்டு முறை எதிர்மறையாக இருந்தால், நீங்கள் விடுவிக்கப்படுவீர்கள். ஆனால் வீட்டிற்குச் சென்ற பிறகு, நீங்கள் எல்லோரிடமிருந்தும் 2 வாரங்கள் தனித்தனியாக இருக்க வேண்டும்.	Ang awtoridad ay gagawa ng magkahiwalay na pag-aayos ng pamumuhay para sa iyo o aminin ka sa isang ospital. Masusubaybayan nila ang iyong kalusugan, mapabuti man o hindi. Ang X-ray o pagsusuri ng dugo ay maaaring kailanganin. Karaniwan, susubukan nila ang iyong pamalo tuwing 24 na oras. Kung negatibo ang iyong pagsubok nang dalawang beses sa isang hilera, ilalabas ka. Ngunit pagkatapos ng pag-uwi, kailangan mong manatiling hiwalay sa lahat sa loob ng 2 linggo.	प्राधिकरण आपके लिए अलग रहने की व्यवस्था करेगा या आपको अस्पताल में भर्ती करेगा। वे आपके स्वास्थ्य की निगरानी करेंगे, कि इसमें सुधार हो रहा है या नहीं। एक्स-रे या रक्त परीक्षण की भी आवश्यकता हो सकती है। आमतौर पर, वे हर 24 घंटे में आपके स्वाब का परीक्षण करेंगे। यदि आपका परीक्षण लगातार दो बार नकारात्मक है, तो आपको छोड़ दिया जाएगा। लेकिन घर जाने के बाद, आपको 2 सप्ताह के लिए सभी से अलग रहना होगा।
6. Will I die from COVID-19?	৬. আমার কি কোভিড -১৯ হলেই আমি মারা যাব?	Tôi sẽ chết nếu tôi có COVID-19?	எனக்கு COVID-19 இருந்தால் நான் இறந்துவிடுவேனா?	Mamamatay ba ako kung mayroon akong COVID-19?	अगर मेरे पास COVID-19 है तो क्या मैं मर जाऊंगा?
