English	Bengali	Tamil
1. What is mental well-being?	মানসিক সুস্থতা কী? 	
Mental wellbeing is an integral part of our overall health. It is how we respond to life’s ups and downs.  It is important to understand that mental wellbeing is not the absence of mental illness or the lack of problems, challenges, and adversity. You can have mental wellness even when if you are having an illness or going through a hard time in life, such as the current COVID19 pandemic.	মানসিক সুস্থতা হল আমাদের সামগ্রিক স্বাস্থ্যের একটি অবিচ্ছেদ্য অংশ। আমাদের জীবনের চড়াই-উৎরাই পার হওয়ার জন্য প্রয়োজন মানসিক স্থিরতা। এটি মনে রাখা জরুরী যে, মানসিক সুস্থতা মানে এই নয় যে একজন ব্যক্তির কোন মানসিক অসুস্থতা নেই বা কোন সমস্যা, প্রতিবন্ধকতা ও প্রতিকূলতা নেই। আপনার শারীরিক অসুস্থতা থাকলে কিংবা আপনার জীবনে কোন কঠিন সময় পার করার সময়ও আপনার মানসিক সুস্থতা থাকতে পারে, যেমন বর্তমান সময়ে কোভিড১৯ মহামারী রোগ। 	
2. I’m not sick, but many friends and I feel down and stressed. Why?	আমি অসুস্থ নই, তবে আমিসহ আমার অনেক বন্ধু-বান্ধব মানসিক চাপ অনুভব করি। কিন্তু কেন? 	
COVID19 is has affected people directly and indirectly all over the world physically, emotionally, financially and socially. Even if you are not infected with COVID19, it is normal to feel stressed, anxious or down. We read and hear news about the impact of COVID many times each day. After some time, our emotions and mood start to get affected. Our lives are also changed in many ways. We are not able to move about as freely as we used to. We are also not able to interact with our family and friends like how we used to. We may be worried about our health, our jobs, our family’s welfare. All these changes add a tremendous amount of stress to our lives.	বিশ্বের সকল প্রান্তের সকল মানুষকেই কোভিড১৯ শারীরিক, মানসিক, আর্থিক ও সামাজিকভাবে প্রভাবিত করেছে প্রত্যক্ষ ও পরোক্ষ উভয়ভাবেই। আপনি যদি কোভিড১৯ দ্বারা আক্রান্ত নাও হয়ে থাকেন, এই পরিস্থিতিতে মানসিক চাপ অনুভব করা বা দুশ্চিন্তাগ্রস্ত হওয়া স্বাভাবিক। আমরা দিনে অনেকবার করে কোভিড-এর পরিস্থিতি সম্পর্কে জানতে খবর পড়ি ও শুনি। কিছু সময় পর আমাদের আবেগ ও মানসিক অবস্থায় এর প্রভাব পড়তে শুরু করে। আমাদের জীবনও অনেকাংশে পরিবর্তিত হয়েছে। আগের মতো আমরা এখন স্বাধীনভাবে চলাফেরা করতে পারছি না। এছাড়া আমাদের পরিবার-পরিজনদের সাথে আমরা আগের মতো সময় কাটাতে পারি না। আমরা আমাদের স্বাস্থ্য, চাকরি, পরিবারের কল্যাণ ইত্যাদি নিয়ে চিন্তিত। এইসকল পরিবর্তন আমাদের জীবনে মারাত্মক চাপ সৃষ্টি করে। 	
3. What can I do to make things better?	পরিস্থিতির উন্নতি করতে আমি কী করতে পারি? 	
Seek accurate information from reliable sources and do not believe and spread everything we read or hear. Limit the number of times we actively search out news about the disease to just once or twice a day. Keep ourselves healthy by practicing good hygiene. Keep others healthy by practising social distancing. Seek medical attention early even if we feel mildly sick and cooperate with the authorities. Continue to communicate regularly with family and friends through non-face-to-face means. Help look out for others that you know.	আস্থাপূর্ণ উৎস থেকে সঠিক তথ্য জানুন এবং আপনি যা যা শুনছেন ও পড়ছেন তার সবকিছু বিশ্বাস করবেন না বা ছড়াবেন না। দিনে রোগ সম্পর্কিত খবর পড়ার পরিমাণ নিয়ন্ত্রণে নিয়ে আসুন, দিনে একবার কি দুইবার খবর পড়ুন। পরিচ্ছন্নতার অভ্যাস করে নিজেদের সুস্থ রাখুন। আর সামাজিক দূরত্ব বজায় রাখার মাধ্যমে অন্যদেরকেও সুস্থ রাখুন। সামান্য অসুস্থ লাগলে মেডিকেল সহায়তা নিন এবং কর্তৃপক্ষের সাথে যোগাযোগ করুন। আপনার পরিবার ও বন্ধুবান্ধবের সাথে পরোক্ষভাবে নিয়মিত যোগাযোগ রাখুন। আপনার পরিচিত জনদের খবর রাখুন। 	
4. It’s difficult to sleep at night. What can I do?	রাতে ঘুমের ব্যাঘাত ঘটছে। আমি কী করতে পারি? 	
During this time, our sleep may be affected because we may be worried about many things.  Try to avoid discussing troubling things just before sleeping time.  Also practice deep breathing exercises and focusing on positive thoughts may help relax.  Do not try to use alcohol to help with your sleep as it will lead to other problems and cutting down on smoking and coffee/tea particularly in the afternoon would help.	বর্তমান পরিস্থিতিতে, আমরা যেহেতু অনেক বিষয় নিয়ে চিন্তিত তাই আমাদের ঘুমের ব্যাঘাত ঘটতে পারে। ঘুমানোর আগে দুশ্চিন্তাজনক বিষয়গুলো নিয়ে আলোচনা করা থেকে বিরত থাকুন। আর সাথে গভীরভাবে নিঃশ্বাস নেয়ার অনুশীলন করুন, ইতিবাচক বিষয় নিয়ে চিন্তা-ভাবনা করলে তা মানসিক চাপ শিথিল করতে সহায়তা করবে। ঘুমের সুবিধার জন্য মদ্যপান করবেন না, কেননা এটি থেকে অন্যান্য সমস্যার সূচনা হতে পারে। বিকেলবেলা ধূমপান করা এবং চা/কফি খাওয়া থেকে বিরত থাকলে ভালো হয়। 	
5. How can I help others in my room/dorm who are feeling stressed?	আমার রুম/হোস্টেলের অন্যরা যদি মানসিক চাপ অনুভব করে তাহলে আমি তাদেরকে কিভাবে সহায়তা করতে পারি? 	
If you room/dorm mate wishes to talk about what is troubling them, it would be good to lend a listening ear.  Sharing your own anxieties and worries with them may also help to assure one another that they are not alone in this.   Try to provide simple practical help. Involve him in some daily activities. Check in with him regularly and look out for any behavioral changes. Inform your supervisor if you notice sudden behavioral changes such as withdrawal, poor appetite or poor sleep.	আপনার রুম/হোস্টেলের অন্যরা যদি আপনার সাথে তাদের দুশ্চিন্তার বিষয় নিয়ে আলোচনা করতে চায়, তাহলে তাদের সাথে কথা  বলুন ও তাদের কথা শুনুন। আপনার নিজস্ব দুশ্চিন্তা ও উদ্বেগের কথা তার সাথে আলোচনা করলে এর মাধ্যমে তারও মনে হবে যে, এই পরিস্থিতিতে সে একা নেই। কিছু বাস্তবিক সহায়তা দেওয়ার চেষ্টা করুন। তাকে দৈনন্দিন কোন কার্যক্রমে নিযুক্ত করুন। নিয়মিত তার খোঁজখবর নিন এবং কোন আচরণগত পরিবর্তন আসলে তা লক্ষ করুন। হঠাৎ তার মধ্যে কোন আচরণগত পরিবর্তন আসলে যেমন কথা-বার্তা বা মেলামেশা বন্ধ করে দেওয়া, ক্ষুধামন্দা বা ঘুমের অসুবিধা ইত্যাদি লক্ষ করলে আপনার সুপারভাইজারকে জানান।	
