English	Bengali	Tamil	Malayalam	Khmer	Marathi	Panjabi	Burmese	Sinhalese	Telgugu	Gujarati
Precaution Measures AFTER Consultation at Emergency Department	ডাক্তার দেখানোর পর নিরাপদ থাকার জন্য এই নিয়মগুলি মেনে চালবেন	மருத்துவ ஆலோசனைக்குப்பின் செய்ய வேண்டிய முன்னெச்சரிக்கை நடவடிக்கைகள்	അത്യാഹിത വിഭാഗത്തിലെ കൂടിയാലോചനയ്ക്ക് ശേഷം മുൻകരുതൽ നടപടികൾ	វិធានការប្រុងប្រយ័ត្នបន្ទាប់ពីការពិគ្រោះយោបល់នៅនាយកដ្ឋានសង្គ្រោះបន្ទាន់	आपत्कालीन विभागात सल्लामसलती नंतरच्या उपाययोजना	ਐਮਰਜੈਂਸੀ ਵਿਭਾਗ ਵਿਖੇ ਸਲਾਹ-ਮਸ਼ਵਰੇ ਤੋਂ ਬਾਅਦ ਸਾਵਧਾਨੀ ਦੇ ਉਪਾਅ	အရေးပေါ်ဌာနတွင် ညှိနှိုင်းတိုင်ပင်ပြီးနောက် ကြိုတင်ကာကွယ်ရေး စီမံချက်များ	හදිසි තත්ත්ව දෙපාර්තමේන්තුවේ උපදේශනයෙන් පසුව පූර්වාරක්ෂා උපායන්	ఎమర్జెన్సీ డిపార్ట్‌మెంట్‌లో కన్సల్టేషన్ తరువాత ముందస్తు జాగ్రత్త చర్యలు	કટોકટી વિભાગમાં પરામર્શ કર્યા પછી સાવચેતીનાં પગલાં
Please avoid taking public transport.	পাবলিক ট্রান্সপোর্ট (গণপরিবহন) ব্যবহার করা এড়িয়ে চলুন।	பொது போக்குவரத்து சேவை எடுப்பதைத் தவிர்க்கவும்.	പൊതുഗതാഗതം ഉപയോഗിക്കുന്നത്   ഒഴിവാക്കുക.	សូមមេត្តាជៀសវាងប្រើមធ្យោបាយធ្វើដំណើរសាធារណៈ។	कृपया सार्वजनिक वाहतूक करणे टाळा.	ਕ੍ਰਿਪਾ ਕਰਕੇ ਪਬਲਿਕ ਟ੍ਰਾਂਸਪੋਰਟ ਦੀ ਵਰਤੋਂ ਕਰਨ ਤੋਂ ਬਚੋ.	အများသုံးသွားလာရေးကို အသုံးမပြုပါနှင့်။	කරුණාකර පොදු ප්‍රවාහනය භාවිතයෙන් වළකින්න.	దయచేసి పబ్లిక్ ట్రాన్స్‌పోర్ట్‌ని పరిహరించండి.	કૃપા કરીને સાર્વજનિક પરિવહન લેવાનું ટાળો.
You can take your own private transport or a taxi / private hire car.	আপনি নিজের ব্যক্তিগত গাড়ি বা ট্যাক্সি/ব্যক্তিগত ভাড়া গাড়ি ব্যবহার করতে পারেন।	நீங்கள் உங்கள் சொந்த வாகனத்தில் அல்லது டாக்ஸி போன்ற வாடகை காரில் பயணம் செய்யலாம்.	നിങ്ങൾക്ക് സ്വന്തമായി ഒരു സ്വകാര്യ ഗതാഗതം അല്ലെങ്കിൽ ഒരു ടാക്സി / സ്വകാര്യ വാടക കാർ എടുക്കാം.	អ្នកអាចប្រើមធ្យោបាយធ្វើដំណើរឯកជនផ្ទាល់ខ្លួនរបស់អ្នក ឬឡានតាក់ស៊ី / ឡានជួលឯកជន។	आपण आपली स्वतःची खासगी वाहतूक किंवा टॅक्सी / खासगी भाड्याने कार घेऊ शकता.	ਤੁਸੀਂ ਆਪਣੀ ਨਿੱਜੀ ਟ੍ਰਾਂਸਪੋਰਟ ਜਾਂ ਟੈਕਸੀ / ਨਿੱਜੀ ਕਿਰਾਏ ਦੀ ਕਾਰ ਲੈ ਸਕਦੇ ਹੋ.	သင့်ကိုယ်ပိုင်ယာဉ် သို့မဟုတ် တက္ကစီ / တစ်ဦးချင်းငှားသည့် ကားဖြင့် သွားပါ။	ඔබට ඔබේම පෞද්ගලික ප්‍රවාහන හෝ කුලී රථ/පෞද්ගලික කුලී මෝටර් රථයක් ගත හැකිය.	మీరు మీ స్వంత ప్రైవేట్ రవాణా లేదా టాక్సీ / ప్రైవేట్ కిరాయి కారు ఉపయోగించవచ్చు.	તમારા પોતાના ખાનગી વપરાશ માટેનું પરિવહન અથવા ટેક્સી / ખાનગી વપરાશ માટે ભાડેથી ગાડી લઈ શકો છો.
While in the car, wear a mask and sit alone in the back seat.	গাড়ির মধ্যে, মাস্ক পরুন এবং পিছনের সিটে একা বসুন।	வாகனத்தில் இருக்கும்போது, ​​முக கவசத்தை அணிந்து பின் இருக்கையில் தனியாக அமருங்கள்.	കാറിലായിരിക്കുമ്പോൾ, മാസ്ക് ധരിച്ച് പിൻസീറ്റിൽ ഒറ്റയ്ക്ക് ഇരിക്കുക.	ពេលនៅក្នុងឡាន ត្រូវពាក់ម៉ាស ហើយអង្គុយម្នាក់ឯងនៅកៅអីខាងក្រោយ។	कारमध्ये असताना मुखवटा घाला आणि मागील सीटवर एकटे बसा.	ਕਾਰ ਵਿਚ, ਮਾਸਕ ਪਾਓ ਅਤੇ ਪਿਛਲੀ ਸੀਟ 'ਤੇ ਇਕੱਲੇ ਬੈਠੋ.	ကားထဲတွင်ရှိနေစဉ် နှာခေါင်းစည်းဝတ်ပြီး နောက်ဘက်ခုံတန်းတွင် တစ်ဦးတည်း ထိုင်ပါ။	මෝටර් රථයේ සිටියදී මුකවාඩමක් පැළඳ පිටුපස අසුනේ තනිවම වාඩි වන්න.	కారులో ఉన్నప్పుడు, మాస్క్ ధరించి వెనుక సీట్లో ఒంటరిగా కూర్చోండి.	ગાડીમાં હોવ ત્યારે માસ્ક પહેરો અને પાછળની સીટ પર એકલા બેસો.
Wind down car windows and switch off air-conditioning.	গাড়ির জানলা খোলা রাখুন এবং এয়ার কন বন্ধ রাখুন।	வாகன ஜன்னல்களை திறந்து, குளிர் சாதனத்தை அணைக்கவும்.	കാർ വിൻഡോകൾ താഴ്ത്തുകയും ,  എയർ കണ്ടീഷനിംഗ് സ്വിച്ച്  ഓഫും ചെയ്യുക.	យកខ្យល់បើកកញ្ចក់ឡាន ហើយបិទម៉ាស៊ីនត្រជាក់។	कारच्या खिडक्या उघडा आणि एसी बंद करा.	ਕਾਰ ਦੀਆਂ ਖਿੜਕੀਆਂ ਨੂੰ ਬੰਦ ਕਰੋ ਅਤੇ ਏਅਰ ਕੰਡੀਸ਼ਨਿੰਗ ਨੂੰ ਬੰਦ ਕਰੋ.	ကားပြတင်းများကို မှန်ချထားပြီး လေအေးပေးစက်ကို ပိတ်ထားပါ။	කාර් කවුළු වසා දමා වායු සමීකරණ ක්‍රියා විරහිත කරන්න.	కారు కిటికీలను మూసివేసి, ఎయిర్ కండిషనింగ్‌ను ఆపివేయండి.	ગાડીની બારીઓને નીચે કરો અને વાતાનુકૂલન બંધ કરો.
Get a taxi/private hire car receipt for contact tracing purposes, should your swab test result be positive.	আপনার সোয়াব পরীক্ষা যদি পসিটিভ হয়, সেই ক্ষেত্রে যোগাযোগ করার উদ্দেশ্যে ট্যাক্সি/প্রাইভেট ভাড়া গাড়ির রিসিপ্ট (রশিদ) নিয়ে রাখুন।	உங்கள் பரிசோதனை முடிவிலிருந்து நீங்கள் பாதிக்கப்பட்டிருக்கிறீர்கள் என்று தெரியவந்தால், தொடர்பு தேடும் நோக்கங்களுக்கு உதவுவதற்காக டாக்ஸி / தனியார் வாடகை கார் ரசீதைப் பெறுங்கள்.	നിങ്ങളുടെ സ്വാബ് പരിശോധന ഫലം പോസിറ്റീവ് ആണെങ്കിൽ‌ കോൺ‌ടാക്റ്റ് ട്രെയ്‌സിംഗ് ആവശ്യങ്ങൾ‌ക്കായി  ടാക്സി / സ്വകാര്യ വാടക കാർ‌ രസീത് നേടുക	ទទួលបានវិក័យប័ត្ររថយន្តតាក់ស៊ី / ជួលឯកជនសម្រាប់គោលបំណងទំនាក់ទំនង ប្រសិនបើលទ្ធផលតេស្តរបស់អ្នកមានភាពវិជ្ជមាន។	संपर्क शोधण्याच्या उद्देशाने टॅक्सी / खासगी भाड्याच्या कारची पावती मिळवा, जर आपल्या स्वाब चाचणीचा निकाल सकारात्मक असेल तर.	ਜੇ ਤੁਹਾਡੇ ਸਵੈਬ ਟੈਸਟ ਦੇ ਨਤੀਜੇ ਸਕਾਰਾਤਮਕ ਹੋਣਗੇ ਤਾਂ ਸੰਪਰਕ ਟਰੇਸਿੰਗ ਕਰਣ ਦੇ ਉਦੇਸ਼ਾਂ ਲਈ, ਟੈਕਸੀ / ਨਿੱਜੀ ਕਿਰਾਏ ਦੀ ਕਾਰ ਦੀ ਰਸੀਦ ਜ਼ਰੂਰ ਲਓ.	သင့်တို့ဘတ်နမူနာမှာ ပိုးရှိနေပါက ခြေရာခံလုပ်ငန်းစဉ်များအတွက် တက္ကစီ/အငှားယာဉ်၏ ပြေစာ ရယူပါ။	ඔබේ සොබ් පරීක්ෂණ ප්‍රතිඵල ධනාත්මක නම්, සම්බන්ධතා නිරීක්ෂණ අරමුණු සඳහා කුලී රථ/පෞද්ගලික කුලී කාර් රිසිට්පතක් ලබා ගන්න.	మీ స్వాబ్ టెస్ట్ ఫలితాలు పాజిటివ్ అయితే, కాంటాక్ట్ జాడ తెలుసుకోవడానికి ట్యాక్సీ / ప్రైవేట్ కిరాయి కారు రసీదు పొందండి.	જો તમારા સ્વેબ પરીક્ષણનું પરિણામ પોઝિટિવ આવે, તો સંપર્ક શોધી કાઢવાના હેતુ માટે ટેક્સી / ખાનગી ભાડાની કાર રસીદ મેળવો
Isolate yourself at home. You are required by law not to leave your home for the entire duration of your medical leave, except for medical related matters.	বাড়িতে সাবার থেকে আলাদা থাকুন। চিকিৎসা সম্পর্কিত কাজ ছাড়া আপনার বাড়ি থেকে আইনত বের হতে পারবেন না, পুরো চিকিৎসা জনিত ছুটির সময়কালীন।	வீட்டிலேயே உங்களை தனிமைப்படுத்திக் கொள்ளுங்கள். மருத்துவ தொடர்பான விஷயங்களைத் தவிர்த்து, உங்கள் மருத்துவ விடுப்பின் முழு காலத்திற்கும் உங்கள் வீட்டை விட்டு நீங்கள் சட்டப்படி வெளியேறக்கூடாது.	വീട്ടിൽ  ഒറ്റപ്പെടുക. മെഡിക്കൽ സംബന്ധമായ കാര്യങ്ങളൊഴികെ, നിങ്ങളുടെ മെഡിക്കൽ അവധിയുടെ മുഴുവൻ സമയവും നിങ്ങളുടെ വീട്ടിൽ നിന്ന് പുറത്തുപോകരുതെന്ന് നിയമം അനുശാസിക്കുന്നു	សូមដាក់ខ្លួនអ្នកដោយឡែកនៅផ្ទះ។ អ្នកត្រូវបានតម្រូវដោយច្បាប់មិនឱ្យចាកចេញពីផ្ទះរបស់អ្នកក្នុងរយៈពេលពេញមួយនៃការឈប់សម្រាកផ្នែកវេជ្ជសាស្ត្ររបស់អ្នក លើកលែងតែបញ្ហាទាក់ទងនឹងផ្នែកវេជ្ជសាស្ត្រ។	स्वत: ला घरी अलग ठेवा. कायद्यानुसार वैद्यकीय संबंधित गोष्टींशिवाय आपल्या वैद्यकीय रजेच्या संपूर्ण कालावधी दरम्यान आपण आपले घर सोडू नये.	ਆਪਣੇ ਆਪ ਨੂੰ ਘਰ ਵਿਚ ਅਲੱਗ ਕਰੋ. ਕਾਨੂੰਨੀ ਤੌਰ ਤੇ ਤੁਹਾਨੂੰ ਲਾਜ਼ਮੀ ਹੈ ਕਿ ਡਾਕਟਰੀ ਸੰਬੰਧੀ ਮਾਮਲਿਆਂ ਤੋਂ ਇਲਾਵਾ, ਤੁਸੀਂ ਡਾਕਟਰੀ ਛੁੱਟੀ ਦੀ ਪੂਰੀ ਅਵਧੀ ਵਿੱਚ ਆਪਣਾ ਘਰ ਨਾ ਛੱਡੋ.	အိမ်တွင် မိမိကိုယ်တိုင် သီးခြားခွဲနေပါ။ ဥပဒအရ ဆေးဘက်ဆိုင်ရာ ကိစ္စရပ်များမှလွဲ၍ သင်၏ ဆေးဘက်ဆိုင်ရာခွင့်ကာလတစ်လျှောက်လုံးတွင် အိမ်အပြင် မထွက်ရပါ။	නිවසේ හුදෙකලා වන්න. වෛද්‍මය ආශ්‍රිත කරුණු හැර ඔබේ වෛද්‍ය නිවාඩු කාලය පුරාම ඔබේ නිවසින් පිටව නොයන ලෙස නීතියෙන් නියම කර ඇත.	ఇంటిలో మీరు విడిగా ఉండండి వైద్య సంబంధిత వ్యవహారాలు మినహా మీ మెడికల్ లీవ్ మొత్తం కాలానికి చట్టప్రకారం మీరు మీ ఇంటిని విడిచిపెట్టరాదని కోరబడుతోంది.	ઘરે પોતાને અલગ રાખો. કાયદા દ્વારા જરૂરી છે કે તબીબી સંબંધિત બાબતો સિવાય, તમારે તબીબી રજાના સંપૂર્ણ સમયગાળા દરમિયાન ઘરની બહાર નીકળવું નહીં.
If you need to go for any medical appointment, before your swab test result is known, inform the medical staff that you were recently screened for COVID-19 and symptoms you have (if any). You should contact the People’s Association at Tel: 6344 8222 to inform them, before the appointment date.	সোয়াব পরীক্ষার ফলাফল জানার আগে যদি আপনার মেডিকেল অ্যাপয়েন্টমেন্টের জন্য কোথাও যাওয়ার প্রয়োজন হয়, চিকিৎসাকর্মীদের জানিয়ে দেন যে আপনাকে কয়েক দিন আগে COVID-19 (কোভিঢ-১৯) এর জন্য পরীক্ষা করা হয়েছে, এবং আপনার কোন রোগের লক্ষণ থাকলে চিকিৎসাকর্মীকে বলুন। অ্যাপয়েন্টমেন্টের তারিখের আগে আপনার পিপল’স এসোসিয়েশন (জনগণের সংস্থার) সাথে টেলেফোনে যোগাযোগ করা উচিত (6344 8222)।	உங்கள் பரிசோதனை முடிவை பெறுவதற்கு முன்பு நீங்கள் எந்த மருத்துவ சந்திப்புக்கும் செல்ல வேண்டியிருந்தால்,  நீங்கள் சமீபத்தில் COVID-19 க்காக பரிசோதிக்கப்பட்டதை மருத்துவ ஊழியர்களுக்கு தெரிவிக்கவும். உங்களிடம் உள்ள அறிகுறிகள் (ஏதேனும் இருந்தால்) அவற்றையும் அவர்களுக்குத் தெரிவியுங்கள். இதற்கு சந்திப்பு தேதிக்கு முன்னதாக, தொலைபேசி: 6344 8222 என்ற எண்ணில் மக்கள் சங்கத்தை தொடர்பு கொள்ள வேண்டும்.	നിങ്ങളുടെ കൈലേസിൻറെ  പരിശോധന ഫലം അറിയുന്നതിനു മുമ്പ്   മെഡിക്കൽ അപ്പോയിന്റ്‌മെന്റിന് ആയി പോകേണ്ടതുണ്ട്ങ്കിൽ  , നിങ്ങൾ അടുത്തിടെ COVID-19 നായി പരിശോധന നടത്തിയതായും നിങ്ങളുടെ ലക്ഷണങ്ങൾ  (എന്തെങ്കിലുമുണ്ടെങ്കിൽ) മെഡിക്കൽ സ്റ്റാഫിനെ അറിയിക്കുക. നിയമന തീയതിക്ക് മുമ്പായി നിങ്ങൾ  പീപ്പിൾസ് അസോസിയേഷനുമായി ബന്ധപ്പെടണം(ടെൽ: 6344 8222)	ប្រសិនបើអ្នកត្រូវការទៅការណាត់ជួបផ្នែកវេជ្ជសាស្រ្តណាមួយមុនពេលដែលលទ្ធផលនៃការធ្វើតេស្តរបស់អ្នក សូមជូនដំណឹងដល់បុគ្គលិកពេទ្យថាអ្នកត្រូវបានពិនិត្យរកមើល COVID-19 និងរោគសញ្ញាដែលអ្នកមាន (ប្រសិនបើមាន) ។ អ្នកគួរទាក់ទងសមាគមប្រជាជនតាមរយៈទូរស័ព្ទលេខ 6344 8222 ដើម្បីជូនដំណឹងដល់ពួកគេ មុនកាលបរិច្ឆេទណាត់ជួប។	आपणास कोणत्याही वैद्यकीय भेटीसाठी जाण्याची आवश्यकता असल्यास, आपल्या स्वाब चाचणीचा निकाल माहित होण्यापूर्वी, वैद्यकीय कर्मचार्‍यांना आपली अलीकडेच कोविड -19 साठी चाचणी झालेली आहे याबद्दल आणि आपल्या लक्षणांबद्दल (काही असल्यास) सांगा. अपॉईंटमेंटच्या तारखेपूर्वी त्यांना माहिती देण्यासाठी आपण पीपल्स असोसिएशनशी दूरध्वनी: 6344 8222 वर संपर्क साधावा.	ਜੇ ਤੁਹਾਨੂੰ ਤੁਹਾਡੇ ਸਵੈਬ ਟੈਸਟ ਦੇ ਨਤੀਜੇ ਜਾਣਨ ਤੋਂ ਪਹਿਲਾਂ, ਕਿਸੇ ਡਾਕਟਰੀ ਮੁਲਾਕਾਤ ਲਈ ਜਾਣ ਦੀ ਜ਼ਰੂਰਤ ਹੈ, ਤਾਂ ਮੈਡੀਕਲ ਸਟਾਫ ਨੂੰ ਦੱਸੋ ਕਿ ਤੁਹਾਡੀ ਹਾਲ ਹੀ ਵਿੱਚ COVID-19 ਵਾਸਤੇ ਜਾਂਚ ਕੀਤੀ ਗਈ ਸੀ ਅਤੇ ਆਪਣੇ ਲੱਛਣਾਂ ਬਾਰੇ ਦੱਸੋ (ਜੇ ਕੋਈ ਹੈ). ਤੁਹਾਨੂੰ ਮੁਲਾਕਾਤ ਦੀ ਮਿਤੀ ਤੋਂ ਪਹਿਲਾਂ ਉਨ੍ਹਾਂ ਨੂੰ ਸੂਚਿਤ ਕਰਨ ਲਈ ਪੀਪਲਜ਼ ਐਸੋਸੀਏਸ਼ਨ ਨੂੰ ਫੋਨ: 6344 8222 'ਤੇ ਸੰਪਰਕ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ.	သင်၏ တို့ဘတ်နမူနာရလဒ်ကို မသိရသေးမီ ဆေးဘက်ဆိုင်ရာ ပြသမှုချိန်းဆိုချက်သို့ သွားရန်ရန် လိုအပ်ပါက၊ COVID-19 အတွက် လတ်တလော သင်စစ်ဆေးမှုခံယူကြောင်းနှင့် သင့်တွင် ရှိသည့် ရောဂါလက္ခဏာများ (ရှိပါက) ကို ဆေးဘက်ဆိုင်ရာ ဝန်ထမ်းအား အသိပေးပါ။ ရက်ချိန်းမတိုင်မီ People’s Association ဖုန်းနံပါတ် 6344 8222 သို့ ဖုန်းခေါ်ဆိုပြီး အသိပေးရပါမည်။	ඔබේ සොබ් පරීක්ෂණ ප්‍රතිඵලය දැන ගැනීමට පෙර ඔබට කිසියම් වෛද්‍ය හමුවීමක් සඳහා යාමට අවශ්‍ය නම්, ඔබ මෑතකදී COVID-19 සඳහා පරීක්ෂාවට ලක් කළ බව සහ ඔබට ඇති රෝග ලක්ෂණ (ඇත්නම්) වෛද්‍ය කාර්ය මණ්ඩලයට දන්වන්න. ඔවුන් දැනුවත් කිරීම සඳහා, හමුවීම් දිනයට පෙර දුරකථන අංක 6344 8222 හරහා ඔබ මහජන සංගමය ඇමතිය යුතුය.	మీరు ఏదైనా మెడికల్ అపాయింట్‌మెంట్‌కు వెళ్లాల్సిన అవసరం ఉంటే, మీ స్వాబ్ పరీక్షా ఫలితం తెలియకముందే, మీరు ఇటీవల COVID-19 కొరకు పరీక్షించబడ్డారని మరియు మీకు ఉన్న రోగలక్షణాలు (ఏదైనా ఉంటే) గురించి వైద్య సిబ్బందికి తెలియజేయండి.‌ అపాయింట్‌మెంట్ తేదీకి ముందే వారికి తెలియజేయడానికి మీరు టెలిఫోన్: 6344 8222 ద్వారా పీపుల్స్ అసోసియేషన్‌ను సంప్రదించాలి.	તમારા સ્વેબ પરીક્ષણના પરિણામ જાણતા પહેલાં, જો તમારે કોઈ તબીબી એપોઇન્ટમેન્ટ માટે જવાની જરૂર હોય, તો તબીબી સ્ટાફને જાણ કરો કે તમને તાજેતરમાં COVID-19 અને તમને જે લક્ષણો (જો કોઈ હોય તો) હોય તે માટે તપાસવામાં આવ્યા છે. નિમણૂકની તારીખ પહેલાં, તમારે પીપલ્સ એસોસિએશનને જાણ કરવા માટે તેમનો સંપર્ક ટેલિફોન: 6344 8222 પર કરવો જોઈએ.
Ask your family members to monitor their health. If they have fever or respiratory symptoms, such as cough, sore throat or shortness of breath, advise them to put on a surgical mask and seek medical attention at any general practitioner’s clinic. They should inform the general practitioner of their travel history or contact with you.	আপনার পরিবারের সদস্যদের স্বাস্থ্যের উপর নজর রাখতে বলুন। যদি তাদের জ্বর বা বুকের সমস্যা থাকে (যেমন কাশি, গলা ব্যথা বা শ্বাসকষ্ট), তাদের সার্জিকাল মাস্ক পরে কোনো ডাক্তার দেখাতে বলুন। তাদের ভ্রমণ বিবরণ ও আপনার সাথে দেখাসাক্ষাত হয়েছে কিনা যেকোন ডাক্তারকে জানিয়ে রাখেন।	உங்கள் குடும்ப உறுப்பினர்களின் ஆரோக்கியத்தை கண்காணிக்கச் சொல்லுங்கள். அவர்களுக்குக் காய்ச்சல், இருமல், தொண்டை வலி அல்லது மூச்சுத் திணறல் போன்ற சுவாசப் பிரச்சணை அறிகுறிகள் இருந்தால், முகக் கவசத்தை அணியவும், எந்தவொரு பொது பயிற்சியாளரின் கிளினிக்கிலும் மருத்துவ உதவியைப் பெறவும் அவர்களுக்கு அறிவுறுத்துங்கள்.	നിങ്ങളുടെ കുടുംബാംഗങ്ങളുടെ ആരോഗ്യം നിരീക്ഷിക്കാൻ  അവരോടു തന്നെ ആവശ്യപ്പെടുക  പനി അല്ലെങ്കിൽ ശ്വാസകോശ ലക്ഷണങ്ങൾ ഉണ്ടെങ്കിൽ,(അതായതു ചുമ, തൊണ്ടവേദന അല്ലെങ്കിൽ ശ്വാസതടസ്സം),  ശസ്ത്രക്രിയാ മാസ്ക് ധരിക്കാനും ഏതെങ്കിലും പൊതു പ്രാക്ടീഷണറുടെ ക്ലിനിക്കിൽ വൈദ്യസഹായം തേടാനും അവരെ ഉപദേശിക്കുക. അവരുടെ യാത്രാ ചരിത്രം അല്ലെങ്കിൽ നിങ്ങളുമായി  ബന്ധപ്പെട്ടതിനെ കുറിച്ച്   അവർ പൊതു പരിശീലകനെ അറിയിക്കണം.	សុំឱ្យសមាជិកគ្រួសារអ្នកតាមដានសុខភាពរបស់ពួកគេ។ ប្រសិនបើពួកគេមានក្តៅខ្លួន ឬរោគសញ្ញាផ្លូវដង្ហើមដូចជាក្អក ឈឺបំពង់ក ឬដកដង្ហើមខ្លីណែនាំឱ្យពួកគេដាក់របាំងវះកាត់ និងស្វែងរកការយកចិត្តទុកដាក់ផ្នែកវេជ្ជសាស្ត្រនៅគ្លីនិកព្យាបាលរោគទូទៅ។ ពួកគេគួរតែជូនដំណឹងដល់អ្នកអនុវត្តទូទៅអំពីប្រវត្តិធ្វើដំណើរ ឬទាក់ទងជាមួយអ្នក។	आपल्या कुटुंबातील सदस्यांना त्यांच्या आरोग्यावर नजर ठेवण्यास सांगा. जर त्यांना ताप किंवा श्वासोच्छवासाची लक्षणे दिसली, जसे की खोकला, घसा खवखवणे किंवा श्वासाची गतीमंदावणे,तर त्यांना सर्जिकल मास्क घालण्याचा सल्ला द्या आणि कोणत्याही वैद्यकीय चिकित्सकाच्या क्लिनिकमध्ये वैद्यकीय मदत घ्या. त्यांनी वैद्यकीय चिकित्सकास त्यांच्या प्रवासाच्या इतिहासाची अथवा आपल्यासोबत आलेल्या संपर्काची माहिती दिली पाहिजे.	ਆਪਣੇ ਪਰਿਵਾਰਕ ਮੈਂਬਰਾਂ ਨੂੰ ਉਨ੍ਹਾਂ ਦੀ ਸਿਹਤ ਦੀ ਨਿਗਰਾਨੀ ਕਰਨ ਲਈ ਕਹੋ. ਜੇ ਉਨ੍ਹਾਂ ਨੂੰ ਬੁਖਾਰ ਜਾਂ ਸਾਹ ਦੇ ਲੱਛਣ  ਹਨ, ਜਿਵੇਂ ਕਿ ਖਾਂਸੀ, ਗਲ਼ੇ ਦੀ ਸੋਜ ਜਾਂ ਸਾਹ ਦੀ ਕਮੀ, ਤਾਂ ਉਨ੍ਹਾਂ ਨੂੰ ਇੱਕ ਸਰਜੀਕਲ ਮਾਸਕ ਲਗਾਉਣ ਅਤੇ ਕਿਸੇ ਜਨਰਲ ਪ੍ਰੈਕਟੀਸ਼ਨਰ ਕਲੀਨਿਕ ਤੋਂ ਡਾਕਟਰੀ ਸਹਾਇਤਾ ਲੈਣ ਦੀ ਸਲਾਹ ਦਿੱਤੀ. ਉਨ੍ਹਾਂ ਨੂੰ ਚਾਹੀਦਾ ਹੈ ਕਿ ਜਨਰਲ ਪ੍ਰੈਕਟੀਸ਼ਨਰ ਨੂੰ ਆਪਣੇ ਯਾਤਰਾ ਦੇ ਇਤਿਹਾਸ ਜਾਂ ਤੁਹਾਡੇ ਨਾਲ ਸੰਪਰਕ ਬਾਰੇ ਸੂਚਿਤ ਕਰਨ .	၎င်းတို့၏ ကျန်းမာရေးကို စောင့်ကြည့်ရန် သင့်မိသားစုကို အကူအညီတောင်းပါ။ ၎င်းတို့တွင် အဖျားတက်ခြင်း သို့မဟုတ် ချောင်းဆိုးခြင်း၊ လည်ချောင်းနာခြင်း သို့မဟုတ် အသက်ရှူကြပ်ခြင်းကဲ့သို့သော အသက်ရှူလမ်းကြောင်းဆိုင်ရာ ရောဂါလက္ခဏာများရှိပါက ခွဲစိတ်ခန်းသုံး နှာခေါင်းစည်း ဝတ်ရန်နှင့် အထွေထွေ ရောဂါကု ဆေးခန်းတစ်ခုခုတွင် ဆေးဘက်ဆိုင်ရာ ကုသမှု ရယူရန် အကြံပေးပါ။ ၎င်းတို့က ၎င်းတို့၏ ခရီးသွားမှတ်တမ်း သို့မဟုတ် သင်နှင့်ထိတွေ့မှုအကြောင်း အထွထွေ ရောဂါကုဆရာဝန်ကို အသိပေးရမည်။	ඔබේ පවුලේ සාමාජිකයින්ගේ සෞඛ්‍යය නිරීක්ෂණය කරන ලෙස ඉල්ලා සිටින්න. ඔවුන්ට උණ හෝ කැස්ස, උගුරේ අමාරුව හෝ හුස්ම හිරවීම වැනි ශ්වසන රෝග ලක්ෂණ ඇත්නම්, ශල්‍ය මුකවාඩමක් පැළඳගෙන ඕනෑම සාමාන්‍ය වෛද්‍යවරයකුගේ සායනයක වෛද්‍ය ප්‍රතිකාර ලබා ගැනීමට ඔවුන්ට උපදෙස් දෙන්න. ඔවුන් ඔවුන්ගේ ගමන් ඉතිහාසය හෝ ඔබ සමඟ සම්බන්ධතාවය පිළිබඳව සාමාන්‍ය වෛද්‍යවරයාට දැනුම් දිය යුතුය.	వారికి జ్వరం లేదా శ్వాసకోశ లక్షణాలు ఉంటే, దగ్గు, గొంతు నొప్పి లేదా శ్వాస తీసుకోవడం కష్టంగా ఉంటే వంటివి ఉంటే, సర్జికల్ మాస్క్ ధరించమని మరియు ఏదైనా సాధారణ వైద్యుడి క్లినిక్‌లో వైద్య సహాయం తీసుకోమని సలహా ఇవ్వండి. వారు తమ ప్రయాణ చరిత్ర లేదా మిమ్మల్ని కాంటాక్ట్ చేసిన విషయాన్ని వారు జనరల్ ప్రాక్టీషనర్‌కు తెలియజేయాలి.	તમારા પરિવારના સભ્યોને તેમના સ્વાસ્થ્ય પર નજર રાખવા માટે કહો. જો તેમને તાવ અથવા શ્વસન સંબંધી લક્ષણો હોય, જેમ કે ઉધરસ, ગળામાં દુખાવો અથવા શ્વાસ લેવામાં તકલીફ તો, તેઓને સર્જિકલ માસ્ક પહેરવાની અને કોઈપણ ડોક્ટરના ક્લિનિકમાં તબીબી સહાય લેવાની સલાહ આપો. તેઓએ તેમના મુસાફરીના ઇતિહાસની અથવા તમારી સાથે સંપર્કમાં આવ્યાની જાણ ડોક્ટરને કરવી જોઈએ.
While in Isolation	বিচ্ছিন্ন অবস্থানকালীন	தனிமைப்படுத்திக் கொண்டிருக்கும்போது	ഒറ്റപ്പെടലിൽ ആയിരിക്കുമ്പോൾ	ពេលនៅដាក់ខ្លួនអ្នកដោយឡែក	अलगाव मध्ये असताना	ਇਕੱਲਤਾ ਵਿੱਚ	သီးခြားခွဲနေစဉ်	හුදකලාව සිටියදී	స్వీయ నిర్బంధంలో ఉన్నప్పుడు	જ્યારે અલગ હો ત્યારે
