Wikipedia (EN)	English	Vietnamese	Simplified Chinese	Tagalog	Burmese	Kurmanji	Arabic	Swahili	Kibaku	Waha	Bura Pabir	Mandara
https://en.wikipedia.org/wiki/Severe_acute_respiratory_syndrome_coronavirus_2	2019-nCoV	2019-nCoV	新冠病毒	2019-nCoV	ကိုရိုနာဗိုင်းရပ်စ် - ၂၀၁၉	2019-nCoV (vîrûsa nû)	فيروس الكورونا المستجد 2019	2019-nCoV	2019-nCoV	2019-nCoV	2019-nCoV	2019-nCoV
https://en.wikipedia.org/wiki/Pulmonary_alveolus	alveoli	túi phổi	肺泡	alveoli	အဆုတ်လေအိတ်ငယ်များ	sikildanokên bayî	حويصلة رؤية	mifuko midongo mapafuni	whalir kcinta shambar akwa fufu	wativa javat safaka an mahufi	lakur mpika akwa huhu	aza kaɓa zlalava fiɗya kalkale am makufé
	antibacterial	kháng khuẩn	抗菌的	laban sa bacteria	ဘက်တီးရီးယားပိုး နှိမ်နင်းသောဆေး	dijbakteriya	مضادات بكتيرية	dawa za kuua bakteria	kuzugu nam ada tsai bakteriya	ghwina jat inahat sangat bacteria	kudzugur tsi bakteriya	aza jà baktériya
https://en.wikipedia.org/wiki/Antibiotic	antibiotics	thuốc kháng sinh	抗生素	mga antibiotiko	ပဍိဇီဝဆေးများ	dermanên dijbaktêrî	مضادات حيوية	antibiotiki	anti baiyotiks	ghwina mlat kuza	kuddzugur ar tsi maɗa suayeri na ana sǝntǝ shilku	kurguna kuza
https://en.wikipedia.org/wiki/Antibiotic	antimicrobial	kháng khuẩn	抗菌素	antimicrobial	ရောဂါဖြစ်စေသောပိုးမွှားများအား တိုက်ထုတ်သည့်ပစ္စည်း	dijmîkrob	مضادات الميكروبات	Ajenti ya kuua viinidudu	kuzugǝr tsi bakteriya	ghwina jat inat sangat kuza	kudzugu na ana tsi maɗa suayeri na ana sǝntǝ shilku	kurguna jà naza sawan kuza
https://en.wikipedia.org/wiki/Category:Antiretroviral_drugs	antiretroviral drugs	thuốc ARV	抗逆转录病毒	mga antiretroviral drug	ခုခံအားကျဆင်းစေသည့် ဗိုင်းရပ်စ်ကို တိုက်ဖျက်သည့်ဆေးများ	dermanên dijpaşvevîrûsan	العلاج المضاد للفيروسات الرجعية	dawa za kupunga makali ya virusi	kuzug;ur tsai vairus	ghwina jat ina sangat kuza	kudzugur tsi vairus	kurguna janfuhe wàla kuza am vuwe
https://en.wikipedia.org/wiki/Acute_respiratory_distress_syndrome	ARDS	Hội chứng suy hô hấp cấp	急性呼吸窘迫综合征	ARDS		Berjengên Tûj ên Êşa Henaseyî	متلازمة ضق النفس الحادة	Ugonjwa Kali wa Mfumo wa Kupumua	ARDS	ARDS	ARDS	ARDS
https://en.wikipedia.org/wiki/Asymptomatic	asymptomatic	không có triệu chứng	无症状的	walang sintomas	ရောဂါ လက္ခဏာမပြ	bênîşane	خلو من الأعراض	ukosefu wa dalili	adai ada tsanti alama wɛ	hat marantawo	kula ncantǝ alama	ɓaakire mara nalama kuza am vuwe
	case	trường hợp	病例	kaso	အမှုကိစ္စ	rewş	حالة	kisa	kasuwa nam musaman	inunda kusa tundu	shilku na jili laga	urana an kuza
https://en.wikipedia.org/wiki/Case_fatality_rate	case fatality rate	tỷ lệ tử vong ca bệnh	致死率	case fatality rate	ရောဂါကြောင့် သေဆုံးသည့် နှုန်း	rêjeya derfeta mirinê	معدل الوفيات	kisa cha kiwango cha vifo	hangkurir nji nam kula nga akuyaka kasuwa laka	golt matuku	hankur mji na ngawa na ana mta kamnyar shilku laga	kwakyire urahana a jà téré kuza ŋanna
https://en.wikipedia.org/wiki/Centers_for_Disease_Control_and_Prevention	CDC	CDC	疾控中心	CDC	စီဒီစီ	Navendên Venêrîn û Rêlêgirtina Nexweşiyan	مركز مكافحة الأمراض والوقاية منها	Kituo cha Kudhibiti na Kuzuia Magonjwa	CDC	CDC	CDC	CDC
https://en.wikipedia.org/wiki/Centers_for_Disease_Control_and_Prevention	Centers for Disease Control and Prevention	Trung tâm kiểm soát và phòng ngừa dịch bệnh	疾控中心	Centers for Disease Control and Prevention	ရောဂါ ထိန်းချုပ်ရေး နှင့် ကာကွယ်ရေးစင်တာ	Navendên Venêrîn û Rêlêgirtina Nexweşiyan	مركز مكافحة الأمراض والوقاية منها	Kituo cha Kudhibiti na Kuzuia Magonjwa	Vǝyir kanti tǝtǝlntadzir kasuwa aka kanti ɓuyir kasuwa	biga ta thlahatal kwizuka kuza	vǝi kǝthlǝr ar nkatǝ yatǝdzir shilkǝyeri	tàta kwara kuza antara janfuhe zlalava kuza
https://en.wikipedia.org/wiki/Case_fatality_rate	CFR	CFR	致死率	CFR	စီ အက်ဖ် အာရ်	Rêjeya Derfeta Mirinê (RDM)	معدل الوفيات	CFR	CFR	CFR	CFR	CFR
https://en.wikipedia.org/wiki/Circulatory_system	circulatory system	hệ tuần hoàn	循环系统	sistemang sirkulatoryo	သွေးလည်ပတ်မှုစနစ်	koendamê gerandarî	الجهاز الدوراني	mfumo wa kuzunguka	bwa nam ada nɗǝɦǝnta masi akwa dza ndɛ	inunda tatig tuɓas maghva	bwa na ana ndigǝi mamshi akwa dza mda	uŋŋule zlalava úzhe am vuwe
	clinical	lâm sàng	临床的	klinikal	ကုသမှုဆိုင်ရာ	nexweşxaneyî	سريري	jaribio la kimatibabu	tubwar likitakur	kuzahunda kas tundu kol ina gwadata nasibiti	su na tsukwa lakur ɓǝla lapiyakur	nda slera asibitiye ge gwata ura
https://en.wikipedia.org/wiki/Clinical_trial	clinical trial	thử nghiệm lâm sàng	临床试验	klinikal na pagsubok	ကုသမှုပိုင်းဆိုင်ရာ စမ်းသပ်စစ်ဆေးမှု	ceribandina nexweşxaneyî	تجربة سريرية	jaribio la kimatibabu	nkǝrti ngaba su ata kǝra lapiyakur tubwar ʻya test pam pam	gwadat ampaniya ghwini	nkǝrta natǝ likita ana hara ka ngaɓǝla kǝra shilku laga	gwata nàmpíré kurguna
	community transmission	lây nhiễm trong cộng đồng	社区传播	local transmission	လူ့အသိုင်းအဝိုင်းအတွင်း ကူးစက်ပျံ့နှံ့မှု	veguhestina civakî	انتقال مجتمعي	maenezi katika jamii	tǝtǝlntadzir kasuwa akwa zara	kwizuka kuzan toba undu	yatǝdzir shilku akwa nca mjir zara	zlalava kuza am dagava zlama kǝlaawa
	confirmed case	ca xác định	确诊病例	kumpirmadong kaso	ရောဂါရှိကြောင်း အတည်ပြုထားသည်	rewşa rastandî	حالة مؤكدة	kisa kilichothibitishwa	kasuwa namtu ndɛ zǝndi apǝri adai	tabatat kuza	shilku natǝ mdǝ ngaɓǝla an koronavairus	zheda uran kuza ŋanna
	contact	tiếp xúc	接触	pagdaiti	ထိတွေ့မှု	destdan	ملامسة	mgusano	kǝba	sihantina	tsukwari wala kǝɓa	jemhe vuwa ura a mazla
https://en.wikipedia.org/wiki/Contagious_disease	contagious	truyền nhiễm	传染的	nakakahawa	ကူးစက်တတ်သော	vegirtî	مُعدٍ	ambukizi	kasuwa namtu nji dwam ata mǝzi bui bet bǝtu	kuzundat kas tund ko ngawa	shilku natu a wutǝ mda ma tsa kǝɓa ka mda naka shilku ni	kuza na a gyega ura aza ura umele na
	contaminated	bị nhiễm khuẩn	受污染的	kontaminado	ညစ်ညမ်းစေသည်	herrimandî	ملوّث	iliyoambukizwa	guzubtiX	gwayafta	ka diɗi	duksa an kuza atikwa na
https://en.wikipedia.org/wiki/Coronavirus	coronavirus	vi rút corona	冠状病毒	coronavirus	ကိုရိုနာဗိုင်းရပ်စ်	vîrûsa Koronayê	فيروس كورونا	virusi vya Korona	koronavairus	coronavirus	koronavairus	coronavirus
https://en.wikipedia.org/wiki/Cough	cough	ho	咳嗽	ubo	ချောင်းဆိုးခြင်း	kuxik	سعال	kikohozi	ɓuthla	wathiɗa	ɓuthla	ŋwuɦye
https://en.wikipedia.org/wiki/Coronavirus	COV	COV	冠状病毒	COV	နိုဗယ် ကိုရိုနာဗိုင်းရပ်စ်	KOV	فيروس كورونا المستجد	Virusi vya Korona	COV	COV	COV	COV
https://en.wikipedia.org/wiki/Covid-19	covid-19	COVID-19	新冠肺炎	covid-19	ကိုဗစ် - ၁၉	kovîd-19	كوفيد-19	civid-19	kovid- 19	covid-19	kovid-19	covid-19
https://en.wikipedia.org/wiki/CT_scan	CT scan	chụp CT	CT扫描	CT scan	စီတီ စကန်	tîrojdana birgehî (wênegirî ji bo naskirina nexweşiyê)	التصوير المقطعي المحوسب	Uchanganuzi wa CT	siti skan	CT scan	CT skan	CT scan
https://en.wikipedia.org/wiki/Delirium	delirium	mê sảng	谵妄	deliryo	ကယောင်ကတမ်းဖြစ်ခြင်း	wirêne	هذيان	badiliko la ghafla wa ubongo	sǝba akwa zǝndir su namtu gakwa	sapta an hankalini	ndatǝdzi kamnyar dzǝkdzǝku wala balamtadzir hankal	ɓaakire heŋkale ge dzama kalkale aɗaba lapikire
https://en.wikipedia.org/wiki/Medical_diagnosis	diagnosis	chẩn đoán	诊断	diyagnosis	ရောဂါအမည်ဖော်ထုတ်ခြင်း	kifşkirin	تشخيص	utambuzi wa kimatibabu	ngabadzir su nam tara ʻya	nighapta	ngaɓǝla shilku na akwa dametu mda	gwata ura
https://en.wikipedia.org/wiki/Diarrhea	diarrhoea	tiêu chảy	腹泻	pagtatae	ဝမ်းလျှောခြင်း	virik	إسهال	kuhara	tǝhɛ	pagh huɗi	tǝha	puwa-huɗe
https://en.wikipedia.org/wiki/Disease	disease	bệnh	疾病	sakit	ရောဂါ	nexweşî	مرض	ugonjwa	kasuwa	kuza	shilku	kuza
https://en.wikipedia.org/wiki/Distance	distance	khoảng cách	距离	distansya	အကွာအဝေး	dûrbûn	مسافة	umbali	pǝɗǝmkur	diɗinuku	cijukur na akwa daɓwa mji suɗa wala vi suɗa	zliɗa am dagava duksàha
https://en.wikipedia.org/wiki/Respiratory_droplet	droplets	giọt (dịch)	飞沫	maliliit na patak	အရည်စက်	dilop	الرذاذ	Matone	yimi nkiɗu nkiɗu nam ada sǝba akwa nya nji ma dar ada labar	tiɗuku	diyang wala mtǝli na raka	téɗa ƴéhé antara makwazhe aliya atisha
https://en.wikipedia.org/wiki/Emergency	emergency	cấp cứu	紧急的	emergency	အရေးပေါ်	awarte	الطوارئ	dharura	dlarɛ namtu ndada bara dlarɛ bet bǝtu	anjivan jivo	akwa huva wala akwa sakar huva	naza mela at watsawatsire
	emerging respiratory virus	vi rút hô hấp chủng mới	新发呼吸道病毒	sumusulpot na virus sa respiratoryo	ပေါ်ထွန်းလာသည့် အသက်ရှူလမ်းကြောင်းဆိုင်ရာ ဗိုင်းရပ်စ်ပိုးများ	vîrûsa henaseyî ya nû	فيروسات الجهاز التنفسي المستجدة	virusi vinavyoibuka vya mfumo wa kupumua	kwayar vairus nam ada kǝli akwa fufu	ina hundat sanga kuza kas tundu	sur sǝntǝ shilku akwa lakur hara mpika	wàla kuza una a sawan damuwa puwa shifa na
https://en.wikipedia.org/wiki/Encephalitis	encephalitis	bệnh viêm não	脑炎	pamamaga ng utak	ဦးနှောက်အမြှေးပါးရောင်ခြင်း	kulbûna mejî	التهاب الدماغ	uvimbe ubongoni	kasuwar angar	kuza makono	shilkur angar	kuza makɦya
https://en.wikipedia.org/wiki/Enzyme	enzyme	enzym	酶	enzyme	အင်ဇိုင်း	enzîm	إنزيم	kichocheo	su nam akwa dza ndɛ nam ada dlarɛ akwa kǝthlǝr laka	inahundat mog thlina maghva	su na akwa dza mda na ana dlar ka hara kǝthlǝr laga	naza zlalava vuwe kalkale
https://en.wikipedia.org/wiki/Epidemic	epidemic	dịch bệnh	流行	epidemya	ကပ်ရောဂါ	pejîk	وباء	janga la ugonjwa	kasuwa nam tara sǝba akwa vi pam pam hang	kuza kusa tund malwa	shilku na mdlǝtǝ di	kyà kuza am maɗala kǝse
https://en.wikipedia.org/wiki/Epidemiology	epidemiology	dịch tễ học	流行病学	epidemiyologo	ရောဂါဖြစ်ပွားပုံ	pejîknasî	علم الأوبئة	epidemiolojia	ilimi nǝr ngaba tǝtǝlntadzir kasuwa	lahunda ta nighapt kag kuzat kwizuku	ilimi na ar ngaɓǝla yatǝdzir shilku	mba zlalava kuza am zlama kǝlaawa
