index,line_nos,transcript_file,audio_file,transcript,tokens
line 1 corpus10.txt,line 1,corpus10.txt,200701-162550_yor_7f4_elicit_0.wav,O ru ládugbó ò ńrerá; kí ni ká sọ fẹ́ni tó ru Òrìṣà-a Yemọja? ## Because you are carrying a huge pot you strut; what would one say to the person carrying the divinity Yemoja?,"[14, 17, 20, 11, 27, 3, 20, 6, 1, 33, 32, 36, 17, 4, 17, 27, 10, 31, 13, 8, 10, 27, 18, 41, 5, 40, 13, 8, 19, 33, 17, 20, 32, 17, 30, 39, 26, 0, 24, 4, 12, 41, 9, 0, 1, 4, 2, 0, 20, 18, 4, 24, 14, 20, 0, 17, 4, 2, 0, 17, 17, 24, 8, 13, 6, 0, 7, 20, 6, 4, 15, 14, 19, 24, 14, 20, 18, 19, 17, 20, 19, 22, 7, 0, 19, 22, 14, 20, 11, 3, 14, 13, 4, 18, 0, 24, 19, 14, 19, 7, 4, 15, 4, 17, 18, 14, 13, 2, 0, 17, 17, 24, 8, 13, 6, 19, 7, 4, 3, 8, 21, 8, 13, 8, 19, 24, 24, 4, 12, 14, 9, 0]"
line 2 corpus10.txt,line 2,corpus10.txt,200701-162550_yor_7f4_elicit_1.wav,"Ó tọ́ kí eégún léni lóko àgbàdo, èwo ni ti Pákọ̀kọ̀ láàrin ìlú? ## It might be seemly for a masquerader to chase one off a corn farm, but it is not seemly for Pákọ̀kọ̀ to chase one in the middle of town.","[33, 19, 41, 10, 31, 4, 29, 6, 35, 13, 11, 29, 13, 8, 11, 33, 10, 14, 26, 6, 1, 26, 3, 14, 28, 22, 14, 13, 8, 19, 8, 15, 27, 10, 41, 10, 41, 11, 27, 26, 17, 8, 13, 30, 11, 35, 8, 19, 12, 8, 6, 7, 19, 1, 4, 18, 4, 4, 12, 11, 24, 5, 14, 17, 0, 12, 0, 18, 16, 20, 4, 17, 0, 3, 4, 17, 19, 14, 2, 7, 0, 18, 4, 14, 13, 4, 14, 5, 5, 0, 2, 14, 17, 13, 5, 0, 17, 12, 1, 20, 19, 8, 19, 8, 18, 13, 14, 19, 18, 4, 4, 12, 11, 24, 5, 14, 17, 15, 27, 10, 41, 10, 41, 19, 14, 2, 7, 0, 18, 4, 14, 13, 4, 8, 13, 19, 7, 4, 12, 8, 3, 3, 11, 4, 14, 5, 19, 14, 22, 13]"
line 3 corpus10.txt,line 3,corpus10.txt,200701-162550_yor_7f4_elicit_2.wav,"Ó yẹ ẹni gbogbo kó sọ pé iṣu ò jiná, kò yẹ alubàtá. ## Everybody has a right to say the yams are not well cooked, but not the bàtá drummer.","[33, 24, 40, 40, 13, 8, 6, 1, 14, 6, 1, 14, 10, 33, 18, 41, 15, 29, 8, 39, 20, 32, 9, 8, 13, 27, 10, 32, 24, 40, 0, 11, 20, 1, 26, 19, 27, 4, 21, 4, 17, 24, 1, 14, 3, 24, 7, 0, 18, 0, 17, 8, 6, 7, 19, 19, 14, 18, 0, 24, 19, 7, 4, 24, 0, 12, 18, 0, 17, 4, 13, 14, 19, 22, 4, 11, 11, 2, 14, 14, 10, 4, 3, 1, 20, 19, 13, 14, 19, 19, 7, 4, 1, 26, 19, 27, 3, 17, 20, 12, 12, 4, 17]"
line 4 corpus10.txt,line 4,corpus10.txt,200701-162550_yor_7f4_elicit_3.wav,"Ó yẹ ẹni gbogbo kó dínwó aró, kò yẹ atọ̀ọ́lé. ## It is fitting for everybody to bargain to reduce the cost of dyeing clothes, but not the bed wetter.","[33, 24, 40, 40, 13, 8, 6, 1, 14, 6, 1, 14, 10, 33, 3, 31, 13, 22, 33, 0, 17, 33, 10, 32, 24, 40, 0, 19, 41, 41, 11, 29, 8, 19, 8, 18, 5, 8, 19, 19, 8, 13, 6, 5, 14, 17, 4, 21, 4, 17, 24, 1, 14, 3, 24, 19, 14, 1, 0, 17, 6, 0, 8, 13, 19, 14, 17, 4, 3, 20, 2, 4, 19, 7, 4, 2, 14, 18, 19, 14, 5, 3, 24, 4, 8, 13, 6, 2, 11, 14, 19, 7, 4, 18, 1, 20, 19, 13, 14, 19, 19, 7, 4, 1, 4, 3, 22, 4, 19, 19, 4, 17]"
line 5 corpus10.txt,line 5,corpus10.txt,200701-162550_yor_7f4_elicit_4.wav,"Ó yẹ ẹni gbogbo kó sọ pé “Ọlọ́run a-ṣèkan-má-kù,” kò yẹ akúkó. ## Everyone can justifiably say, “God, who has left nothing undone,” but not a eunuch.","[33, 24, 40, 40, 13, 8, 6, 1, 14, 6, 1, 14, 10, 33, 18, 41, 15, 29, 41, 11, 41, 17, 20, 13, 0, 39, 28, 10, 0, 13, 12, 27, 10, 34, 10, 32, 24, 40, 0, 10, 35, 10, 33, 4, 21, 4, 17, 24, 14, 13, 4, 2, 0, 13, 9, 20, 18, 19, 8, 5, 8, 0, 1, 11, 24, 18, 0, 24, 6, 14, 3, 22, 7, 14, 7, 0, 18, 11, 4, 5, 19, 13, 14, 19, 7, 8, 13, 6, 20, 13, 3, 14, 13, 4, 1, 20, 19, 13, 14, 19, 0, 4, 20, 13, 20, 2, 7]"
line 6 corpus10.txt,line 6,corpus10.txt,200701-162550_yor_7f4_elicit_5.wav,"Odò kékeré lalákàn-án ti lè fọ́ epo; bó bá di àgàdàm̀gbá tán, odò a gbé alákàn lọ. ## It is only in a small stream that the crab can make its oil; when it becomes huge and swift the river sweeps the crab away.","[14, 3, 32, 10, 29, 10, 4, 17, 29, 11, 0, 11, 27, 10, 26, 13, 27, 13, 19, 8, 11, 28, 5, 41, 4, 15, 14, 1, 33, 1, 27, 3, 8, 26, 6, 26, 3, 26, 12, 6, 1, 27, 19, 27, 13, 14, 3, 32, 0, 6, 1, 29, 0, 11, 27, 10, 26, 13, 11, 41, 8, 19, 8, 18, 14, 13, 11, 24, 8, 13, 0, 18, 12, 0, 11, 11, 18, 19, 17, 4, 0, 12, 19, 7, 0, 19, 19, 7, 4, 2, 17, 0, 1, 2, 0, 13, 12, 0, 10, 4, 8, 19, 18, 14, 8, 11, 22, 7, 4, 13, 8, 19, 1, 4, 2, 14, 12, 4, 18, 7, 20, 6, 4, 0, 13, 3, 18, 22, 8, 5, 19, 19, 7, 4, 17, 8, 21, 4, 17, 18, 22, 4, 4, 15, 18, 19, 7, 4, 2, 17, 0, 1, 0, 22, 0, 24]"
line 7 corpus10.txt,line 7,corpus10.txt,200701-162550_yor_7f4_elicit_6.wav,"Òfin ni yó sọ ara ẹ̀; ìyàwó tí ńna ọmọ ìyálé. ## The law will assert itself, “as in the case of” a junior wife flogging the child of the senior wife.","[32, 5, 8, 13, 13, 8, 24, 33, 18, 41, 0, 17, 0, 40, 30, 24, 26, 22, 33, 19, 31, 36, 13, 0, 41, 12, 41, 30, 24, 27, 11, 29, 19, 7, 4, 11, 0, 22, 22, 8, 11, 11, 0, 18, 18, 4, 17, 19, 8, 19, 18, 4, 11, 5, 0, 18, 8, 13, 19, 7, 4, 2, 0, 18, 4, 14, 5, 0, 9, 20, 13, 8, 14, 17, 22, 8, 5, 4, 5, 11, 14, 6, 6, 8, 13, 6, 19, 7, 4, 2, 7, 8, 11, 3, 14, 5, 19, 7, 4, 18, 4, 13, 8, 14, 17, 22, 8, 5, 4]"
line 8 corpus10.txt,line 8,corpus10.txt,200701-162550_yor_7f4_elicit_7.wav,Ogun tí olójúméjìí rí sá ni olójúkan-án ní òún ńlọ jà. ## The war that the two-eyed person saw and fled is the same the one-eyed person vows he will join.,"[14, 6, 20, 13, 19, 31, 14, 11, 33, 9, 35, 12, 29, 9, 30, 31, 17, 31, 18, 27, 13, 8, 14, 11, 33, 9, 35, 10, 0, 13, 27, 13, 13, 31, 32, 35, 13, 36, 11, 41, 9, 26, 19, 7, 4, 22, 0, 17, 19, 7, 0, 19, 19, 7, 4, 19, 22, 14, 4, 24, 4, 3, 15, 4, 17, 18, 14, 13, 18, 0, 22, 0, 13, 3, 5, 11, 4, 3, 8, 18, 19, 7, 4, 18, 0, 12, 4, 19, 7, 4, 14, 13, 4, 4, 24, 4, 3, 15, 4, 17, 18, 14, 13, 21, 14, 22, 18, 7, 4, 22, 8, 11, 11, 9, 14, 8, 13]"
line 9 corpus10.txt,line 9,corpus10.txt,200701-162550_yor_7f4_elicit_8.wav,"Ohun méjì ló yẹ Ẹ̀ṣọ́: Ẹ̀ṣọ́ jà, ó lé ogun; Ẹ̀ṣọ́ jà ó kú sógun. ## Only two things are proper for a warrior: the warrior goes to war and drives the enemy off; the warrior goes to war and dies in battle.","[14, 7, 20, 13, 12, 29, 9, 30, 11, 33, 24, 40, 40, 39, 41, 40, 39, 41, 9, 26, 33, 11, 29, 14, 6, 20, 13, 40, 39, 41, 9, 26, 33, 10, 35, 18, 33, 6, 20, 13, 14, 13, 11, 24, 19, 22, 14, 19, 7, 8, 13, 6, 18, 0, 17, 4, 15, 17, 14, 15, 4, 17, 5, 14, 17, 0, 22, 0, 17, 17, 8, 14, 17, 19, 7, 4, 22, 0, 17, 17, 8, 14, 17, 6, 14, 4, 18, 19, 14, 22, 0, 17, 0, 13, 3, 3, 17, 8, 21, 4, 18, 19, 7, 4, 4, 13, 4, 12, 24, 14, 5, 5, 19, 7, 4, 22, 0, 17, 17, 8, 14, 17, 6, 14, 4, 18, 19, 14, 22, 0, 17, 0, 13, 3, 3, 8, 4, 18, 8, 13, 1, 0, 19, 19, 11, 4]"
line 10 corpus10.txt,line 10,corpus10.txt,200701-162550_yor_7f4_elicit_9.wav,Ohun tí à ńtà là ńjẹ; kì í ṣe ọ̀rọ̀ oní-kẹrosíìnì. ## What one sells is what one eats; that does not apply to the kerosene seller.,"[14, 7, 20, 13, 19, 31, 26, 36, 19, 26, 11, 26, 36, 9, 40, 10, 30, 31, 39, 4, 41, 17, 41, 14, 13, 31, 10, 40, 17, 14, 18, 31, 30, 13, 30, 22, 7, 0, 19, 14, 13, 4, 18, 4, 11, 11, 18, 8, 18, 22, 7, 0, 19, 14, 13, 4, 4, 0, 19, 18, 19, 7, 0, 19, 3, 14, 4, 18, 13, 14, 19, 0, 15, 15, 11, 24, 19, 14, 19, 7, 4, 10, 4, 17, 14, 18, 4, 13, 4, 18, 4, 11, 11, 4, 17]"
